detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,L_HE_PRON,news,0.4185040336289979,0.002766259464163836,True
microsoft/deberta-v3-small,L_HE_PRON,reviews,0.4600077136831108,0.0008826859271026396,True
microsoft/deberta-v3-small,L_HE_PRON,qa,0.18785228348340993,0.19616252259461214,False
microsoft/deberta-v3-small,L_SHE_PRON,abstracts,-0.3573791122988654,0.01170430791944875,True
microsoft/deberta-v3-small,L_SHE_PRON,news,0.49079497611855033,0.0003431041535697673,True
microsoft/deberta-v3-small,L_SHE_PRON,reviews,0.5610187695220445,2.7516701355872886e-05,True
microsoft/deberta-v3-small,L_SHE_PRON,qa,0.06853826824291723,0.6398321799255725,False
microsoft/deberta-v3-small,L_IT_PRON,abstracts,-0.48043799498058426,0.00047620247209621255,True
microsoft/deberta-v3-small,L_IT_PRON,news,0.4093688746467255,0.0034914805620969314,True
microsoft/deberta-v3-small,L_IT_PRON,reviews,0.36304049524793824,0.010353037678692384,True
microsoft/deberta-v3-small,L_IT_PRON,qa,-0.1443675492649453,0.32232976895456894,False
microsoft/deberta-v3-small,L_YOU_PRON,abstracts,-0.23823203572731771,0.09926993582565634,False
microsoft/deberta-v3-small,L_YOU_PRON,news,0.5578470873048408,3.122531742156693e-05,True
microsoft/deberta-v3-small,L_YOU_PRON,reviews,-0.3244821443855539,0.02292562260634833,True
microsoft/deberta-v3-small,L_YOU_PRON,qa,-0.31735469578748177,0.026288790122498903,True
microsoft/deberta-v3-small,L_WE_PRON,abstracts,0.3489045450150343,0.014008760305523789,True
microsoft/deberta-v3-small,L_WE_PRON,news,0.36693456898466925,0.009503545801968367,True
microsoft/deberta-v3-small,L_WE_PRON,reviews,-0.23104270610462682,0.11021163116296546,False
microsoft/deberta-v3-small,L_WE_PRON,qa,-0.45581020280773,0.0009973478250612192,True
microsoft/deberta-v3-small,L_THEY_PRON,abstracts,-0.16922095508837123,0.2450838362034296,False
microsoft/deberta-v3-small,L_THEY_PRON,news,0.20153619502197703,0.16494526675646576,False
microsoft/deberta-v3-small,L_THEY_PRON,reviews,0.20392151145773246,0.15989703663460675,False
microsoft/deberta-v3-small,L_THEY_PRON,qa,0.014245988273424104,0.9226053415946719,False
microsoft/deberta-v3-small,L_ME_PRON,abstracts,-0.2569990820806182,0.07464698344954662,False
microsoft/deberta-v3-small,L_ME_PRON,news,0.3876602019162999,0.0059215698210520595,True
microsoft/deberta-v3-small,L_ME_PRON,reviews,0.03688668609574008,0.801329609506015,False
microsoft/deberta-v3-small,L_ME_PRON,qa,0.5171699824449931,0.00014182811471239527,True
microsoft/deberta-v3-small,L_YOU_OBJ_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_YOU_OBJ_PRON,news,0.5436776343364053,5.408972519984982e-05,True
microsoft/deberta-v3-small,L_YOU_OBJ_PRON,reviews,-0.32460028368126215,0.022873078867638567,True
microsoft/deberta-v3-small,L_YOU_OBJ_PRON,qa,0.17079543102870398,0.24065564225053498,False
microsoft/deberta-v3-small,L_HIM_PRON,abstracts,0.12169511017933805,0.4048577001436225,False
microsoft/deberta-v3-small,L_HIM_PRON,news,0.11793588377754105,0.41963099987602065,False
microsoft/deberta-v3-small,L_HIM_PRON,reviews,0.11748292678599985,0.42143152206324697,False
microsoft/deberta-v3-small,L_HIM_PRON,qa,-0.37464717097997574,0.007997117073256788,True
microsoft/deberta-v3-small,L_HER_OBJECT_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_HER_OBJECT_PRON,news,0.33861651079252125,0.017317189498618747,True
microsoft/deberta-v3-small,L_HER_OBJECT_PRON,reviews,0.44159130607128305,0.0014914384949339758,True
microsoft/deberta-v3-small,L_HER_OBJECT_PRON,qa,-0.08264165380674758,0.5723970526701246,False
microsoft/deberta-v3-small,L_IT_OBJECT_PRON,abstracts,0.14844862412898288,0.3086928162271328,False
microsoft/deberta-v3-small,L_IT_OBJECT_PRON,news,0.4793650657820037,0.0004923619935253309,True
microsoft/deberta-v3-small,L_IT_OBJECT_PRON,reviews,0.6266902439744285,1.4555416014773724e-06,True
microsoft/deberta-v3-small,L_IT_OBJECT_PRON,qa,0.24298869894771435,0.092504976654885,False
microsoft/deberta-v3-small,L_US_PRON,abstracts,-0.02095412072410309,0.8863629202111086,False
microsoft/deberta-v3-small,L_US_PRON,news,0.4952062149163703,0.00029744531402501776,True
microsoft/deberta-v3-small,L_US_PRON,reviews,-0.21408743961859555,0.13964566383714785,False
microsoft/deberta-v3-small,L_US_PRON,qa,0.3324180583124935,0.019613953740103152,True
microsoft/deberta-v3-small,L_THEM_PRON,abstracts,0.3238216311811628,0.023221265642103257,True
microsoft/deberta-v3-small,L_THEM_PRON,news,-0.07043337046906872,0.6305848788086356,False
microsoft/deberta-v3-small,L_THEM_PRON,reviews,0.2113250928911397,0.14494892971388296,False
microsoft/deberta-v3-small,L_THEM_PRON,qa,-0.5913172649306798,7.681043670793723e-06,True
microsoft/deberta-v3-small,L_MY_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_MY_PRON,news,0.3578105470605594,0.011596257312473832,True
microsoft/deberta-v3-small,L_MY_PRON,reviews,0.6235569353991671,1.7007059992247296e-06,True
microsoft/deberta-v3-small,L_MY_PRON,qa,-0.010246964558144528,0.944290095903211,False
microsoft/deberta-v3-small,L_YOUR_PRON,abstracts,-0.5400237064067727,6.207536099950781e-05,True
