feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,L_OUR_PRON,-0.007289955783304366,-0.026260521501736557,-0.17840877190268387,0.002217881617945566,-0.06253931170000714,-0.18010321618438196
,L_THEIR_PRON,-0.03128482567258224,-0.03906809836680223,0.1317434463368442,-0.00494972995095027,-0.07313214657857658,0.14402015295026213
,L_YOURS_PRON,0.04301548366869475,0.1965120396355779,-0.2776276660266467,0.03251380014560674,0.21459330847863886,-0.208813688249074
,L_THEIRS_PRON,0.01993877376804836,-0.17205185764941744,-0.2718267008072175,0.035523247860112746,-0.20040124785693705,-0.22255408474231778
,L_HERS_PRON,0.07623104326875517,-0.09845021017549456,0.039030092118195504,0.08658695318790365,-0.1257194928010622,-0.013166885879472085
,L_OURS_PRON,0.04321042910674116,-0.11740911378580386,0.0916361032669834,0.03511323746729769,-0.11183957807087797,0.04822566586535543
,L_MYSELF_PRON,0.00031614873886130063,-0.0880070034780159,0.12302751622857845,-0.0026791216731861483,-0.11251096480521783,0.07249253012097683
,L_YOURSELF_PRON,0.06859624764608187,-0.0430905464741793,0.1904281066794204,0.08988730710226882,-0.0893872522637058,0.12571602686204
,L_HIMSELF_PRON,-0.006936125590392747,-0.17394719380671814,-0.02462413858271244,-0.01712251214217872,-0.18585923076485505,-0.009136996148224696
,L_HERSELF_PRON,-0.03159350640502868,-0.19763947628729406,-0.07685572484565824,-0.02686707708317872,-0.19741009415440597,-0.0423960926105022
,L_ITSELF_PRON,-0.01969992574753753,-0.08164800317909254,0.1457516538452614,-0.036261398471980386,-0.04512032024834404,0.14501456807876148
,L_OURSELVES_PRON,0.030252216016698447,-0.1698380014551506,0.09407892738194576,0.015110751860976188,-0.2484297208191698,0.08695134673623799
,L_YOURSELVES_PRON,0.03776412700095969,-0.13024143069767027,0.16460600148503693,0.042520909725276265,-0.16181145697252877,0.1077910058928936
,L_THEMSELVES_PRON,-0.05085777397615365,-0.28594422007621395,-0.013379689285851443,-0.08088978749810619,-0.3168615356981651,-0.02689010432974585
,L_FIRST_PERSON_SING_PRON,0.03066118650982078,0.1854283711540369,-0.07538774735322731,0.043003474015886785,0.24243457876995173,-0.048547690959530744
,L_SECOND_PERSON_PRON,0.04317330053006199,-0.05416978404521778,0.00907907487254205,0.030280458616995923,0.00830441218270187,0.0315737565367039
,L_THIRD_PERSON_SING_PRON,0.0034139270978731985,0.19664000789112096,0.12200571880640791,0.007824437835442647,0.266831523087672,0.13519956161565083
,L_THIRD_PERSON_PLURAL_PRON,-0.0031756575725416488,0.027998265025279592,0.14093875403136757,-0.0031796174270542817,0.052838059713409824,0.18080059822255037
,VF_INFINITIVE,0.031718736476476925,0.1530399670094287,-0.014567847021660646,0.020187185616231756,0.23413669154060818,0.04064833268768513
