feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,L_ADJ_SUPERLATIVE,0.013453835223671603,0.880931908710131,0.8696370551026112,0.16668181464843543,0.6779805050367083,0.7405272061711354
,L_ADV_POSITIVE,0.7577456246224648,0.0064470970330419404,0.08705708994334536,0.7757483000631831,0.027508260687292813,0.06590960861591445
,L_ADV_COMPARATIVE,0.903518622269493,0.003140920572634502,0.05088969860318558,0.6564086062885155,0.013655323908338906,0.06480517040360222
,L_ADV_SUPERLATIVE,0.8479190339453608,0.003921710303244989,0.05991094867546504,0.761346514873108,0.016362950635646863,0.08382580459549561
,ST_REPETITIONS_WORDS,0.3029443700136695,0.0015102258079710245,0.1662313030565658,0.30889422400503885,0.0006787682069339632,0.13117464670318327
,ST_REPETITIONS_SENT,,,,,,
,L_I_PRON,0.33081018170632004,0.009268264366140297,0.42952565071359405,0.1724873154600271,0.0006179934926590675,0.6112313707476582
,L_HE_PRON,0.0002233788327435685,0.008352719028689531,0.3255882296516033,0.0014576199194747121,0.0006614293149869,0.39986109986459806
,L_SHE_PRON,0.00010000766430026998,0.0011675598523786866,0.5563951419464446,0.00019257749538165758,6.009289205767486e-06,0.58029486264246
,L_IT_PRON,0.6089881067445336,0.06463697307686429,0.04220221546224989,0.7389282921982179,0.001957264089052234,0.030703874416844867
,L_YOU_PRON,0.2839649590501485,0.45399467509914615,0.7281102972570346,0.45134640325485187,0.03471292574476052,0.9931890272958988
,L_WE_PRON,0.23927157143893335,0.19943714055617284,0.7733462722513387,0.17830430216161372,0.2678981666869857,0.3372564584480432
,L_THEY_PRON,0.42502585679167426,0.24247944925768106,0.11843719988322507,0.9168961783329583,0.021997664646846295,0.10268955263486777
,L_ME_PRON,0.8141493968361054,0.06262259343741866,0.4387764141467334,0.7732897444651347,0.07256482155329919,0.6040041734578722
,L_YOU_OBJ_PRON,0.23264359464636974,0.21715765073733898,0.3314465449117242,0.14433831062848526,0.5940159617463365,0.5007469965282146
,L_HIM_PRON,0.0009260840364599343,0.12006368079067914,0.28277394517573906,0.0012226022580918172,0.037156818688406985,0.2582742781982929
,L_HER_OBJECT_PRON,0.005330476476821003,0.0007226519015937109,0.8765582907019047,0.0005183358586601082,1.241475307608883e-05,0.8104552444737965
,L_IT_OBJECT_PRON,0.026379606800543593,0.0001557129684014614,0.1291510707479268,0.026700424604035315,1.5508418791635164e-07,0.3546023224929866
,L_US_PRON,0.24138502805327258,0.48436882827159544,0.5042074840328822,0.13051978784516738,0.911738931786342,0.21435190501296258
,L_THEM_PRON,0.6135455981212949,0.5384099324257743,0.6022191201590696,0.449455675005869,0.15012418401854127,0.8378845478351903
,L_MY_PRON,0.005763016867157954,0.0016018269720248246,0.15303542112438,0.009554630581674411,0.00013029839690397365,0.24118573925485481
,L_YOUR_PRON,0.028459814337985855,0.10052817612920191,0.11085542071134856,0.07559790947125289,0.23175488696828206,0.15799503069321913
,L_HIS_PRON,0.11889449188416255,0.07500035598743283,0.49419288575718345,0.05829453225816472,0.014799608087926927,0.20973319579820926
,L_HER_PRON,0.02810323880885941,0.02093714455944739,0.6581433958040295,0.008978886025850613,0.009132342124041097,0.26378748528792956
,L_ITS_PRON,0.00806317346371826,0.542264346147524,0.03144261213406426,0.040928021796388464,0.2569856541681413,0.021186115904466108
,L_OUR_PRON,0.8171867645038345,0.7148436469373666,0.05982944172078855,0.9439323787144736,0.3838618183977277,0.05740425526651857
,L_THEIR_PRON,0.3210644296630617,0.5866737432383955,0.16616147350807184,0.8752802920098475,0.3083616103415057,0.12977822465012262
,L_YOURS_PRON,0.17236736577735554,0.005770586231551109,0.003039988945187776,0.3024128304686298,0.002524778777830758,0.027139723844402087
,L_THEIRS_PRON,0.5271818245178683,0.015894539376721462,0.0037403157861354906,0.25983365064889563,0.004858048101343954,0.01834753827944266
,L_HERS_PRON,0.015487215989489567,0.16980700078508473,0.6828496906392323,0.005944861985271831,0.07912464429312308,0.8904080093580847
