detection_model,metric,model,correlation,pvalue,significant
microsoft/deberta-v3-small,G_PRESENT,qwen14b,0.3650662296773597,0.1644199979061852,False
microsoft/deberta-v3-small,G_PRESENT,solar,0.10133695250299804,0.7088280460642662,False
microsoft/deberta-v3-small,G_PAST,mistral,0.09611023375592108,0.7232810400692242,False
microsoft/deberta-v3-small,G_PAST,deepseek,0.22402277682044763,0.40423528769356865,False
microsoft/deberta-v3-small,G_PAST,llama3.3,0.14367848853813112,0.595514223163716,False
microsoft/deberta-v3-small,G_PAST,qwen72b,-0.18379512653967905,0.49562783654386294,False
microsoft/deberta-v3-small,G_PAST,qwen32b,0.06736324067818283,0.804230144133429,False
microsoft/deberta-v3-small,G_PAST,qwen14b,-0.025517232037147425,0.9252650825757908,False
microsoft/deberta-v3-small,G_PAST,solar,-0.11116616357651546,0.6819021354642101,False
microsoft/deberta-v3-small,G_FUTURE,mistral,-0.18712966580310897,0.4877013061809115,False
microsoft/deberta-v3-small,G_FUTURE,deepseek,0.08915896013956684,0.7426387097499025,False
microsoft/deberta-v3-small,G_FUTURE,llama3.3,-0.31333214138002907,0.23731925892413028,False
microsoft/deberta-v3-small,G_FUTURE,qwen72b,-0.37762832964734555,0.1492951526474288,False
microsoft/deberta-v3-small,G_FUTURE,qwen32b,0.11239591142556318,0.6785578220155036,False
microsoft/deberta-v3-small,G_FUTURE,qwen14b,-0.2222952146543274,0.40796417332706525,False
microsoft/deberta-v3-small,G_FUTURE,solar,-0.12524480657242826,0.6439607858011835,False
microsoft/deberta-v3-small,L_CONT_A,mistral,-0.11202499151456903,0.6795659542356005,False
microsoft/deberta-v3-small,L_CONT_A,deepseek,-0.30061621653475756,0.2579114914383011,False
microsoft/deberta-v3-small,L_CONT_A,llama3.3,0.08677871026794258,0.7493011539781186,False
microsoft/deberta-v3-small,L_CONT_A,qwen72b,0.3591374563551697,0.17190152513496934,False
microsoft/deberta-v3-small,L_CONT_A,qwen32b,-0.2954394953762571,0.2665997619524115,False
microsoft/deberta-v3-small,L_CONT_A,qwen14b,-0.1932000467484111,0.47342918304028886,False
microsoft/deberta-v3-small,L_CONT_A,solar,0.0003165645160189065,0.9990716376454388,False
microsoft/deberta-v3-small,L_FUNC_A,mistral,0.15011230938265216,0.5789613363092029,False
microsoft/deberta-v3-small,L_FUNC_A,deepseek,0.35107578293376707,0.18243219612922204,False
microsoft/deberta-v3-small,L_FUNC_A,llama3.3,-0.09807236039050439,0.7178447665545816,False
microsoft/deberta-v3-small,L_FUNC_A,qwen72b,-0.33802993709622264,0.20035621910398832,False
microsoft/deberta-v3-small,L_FUNC_A,qwen32b,0.318213245007268,0.229697386933229,False
microsoft/deberta-v3-small,L_FUNC_A,qwen14b,0.21819515070063394,0.4168864386926595,False
microsoft/deberta-v3-small,L_FUNC_A,solar,0.026758914059154967,0.9216386085554703,False
microsoft/deberta-v3-small,L_CONT_T,mistral,-0.25908110208880997,0.332574239624596,False
microsoft/deberta-v3-small,L_CONT_T,deepseek,-0.39016216182482133,0.1351725396644649,False
microsoft/deberta-v3-small,L_CONT_T,llama3.3,-0.09481415831380181,0.7268787821510009,False
microsoft/deberta-v3-small,L_CONT_T,qwen72b,0.18298803294174437,0.4975555086081903,False
microsoft/deberta-v3-small,L_CONT_T,qwen32b,-0.3219751266101155,0.22392994775796757,False
microsoft/deberta-v3-small,L_CONT_T,qwen14b,-0.33910722885980404,0.19883447551350256,False
microsoft/deberta-v3-small,L_CONT_T,solar,-0.11443845984122486,0.673015518429785,False
microsoft/deberta-v3-small,L_FUNC_T,mistral,0.15875260076681585,0.5570397381206524,False
microsoft/deberta-v3-small,L_FUNC_T,deepseek,0.318636855017726,0.22904329921590105,False
microsoft/deberta-v3-small,L_FUNC_T,llama3.3,0.10295516859285478,0.7043718894326234,False
microsoft/deberta-v3-small,L_FUNC_T,qwen72b,-0.2592582615886504,0.33223191522699796,False
microsoft/deberta-v3-small,L_FUNC_T,qwen32b,0.4256908979598687,0.10018641323633384,False
microsoft/deberta-v3-small,L_FUNC_T,qwen14b,0.2577161526734591,0.3352185009569666,False
microsoft/deberta-v3-small,L_FUNC_T,solar,0.06492849243038804,0.8111849055939304,False
microsoft/deberta-v3-small,L_PROPER_NAME,mistral,-0.013555062350223274,0.9602627951207829,False
microsoft/deberta-v3-small,L_PROPER_NAME,deepseek,0.05524941770103867,0.8389592564805223,False
microsoft/deberta-v3-small,L_PROPER_NAME,llama3.3,0.324868125677957,0.21955772736780296,False
microsoft/deberta-v3-small,L_PROPER_NAME,qwen72b,0.2802499389379697,0.29311065728562313,False
microsoft/deberta-v3-small,L_PROPER_NAME,qwen32b,-0.327154056311179,0.21614172547486957,False
microsoft/deberta-v3-small,L_PROPER_NAME,qwen14b,-0.09312061427985914,0.7315879105384282,False
microsoft/deberta-v3-small,L_PROPER_NAME,solar,-0.06291325691255466,0.8169513973936477,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,mistral,-0.013082743600241559,0.9616464514287762,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,deepseek,0.037891316421203525,0.8891976715352942,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,llama3.3,0.22031705892366862,0.41225620748167735,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,qwen72b,0.20130573465315918,0.4546954517544439,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,qwen32b,-0.2934453582483163,0.26999368137878826,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,qwen14b,-0.15920418410541126,0.5559039738290914,False
microsoft/deberta-v3-small,L_PERSONAL_NAME,solar,-0.11858947469123703,0.6618007714007965,False
microsoft/deberta-v3-small,L_POSSESSIVES,mistral,0.08177289716990631,0.7633665399476115,False
microsoft/deberta-v3-small,L_POSSESSIVES,deepseek,0.17164233049485847,0.5250233567672697,False
microsoft/deberta-v3-small,L_POSSESSIVES,llama3.3,0.04775016242247787,0.8606034458056683,False
microsoft/deberta-v3-small,L_POSSESSIVES,qwen72b,-0.10373872758584413,0.7022173912639181,False
microsoft/deberta-v3-small,L_POSSESSIVES,qwen32b,0.24562304559271192,0.3591671408219148,False
microsoft/deberta-v3-small,L_POSSESSIVES,qwen14b,0.3072095355753026,0.24710131715306194,False
microsoft/deberta-v3-small,L_POSSESSIVES,solar,0.04062975589119655,0.8812408921867668,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,mistral,-0.024561520053404506,0.9280572918103274,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,deepseek,-0.2862165685804514,0.28251606848308164,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,llama3.3,0.1925967930770196,0.4748382942315374,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,qwen72b,0.38954847942442694,0.1358418286148041,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,qwen32b,-0.29115721601496924,0.273920233861276,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,qwen14b,-0.32263296983023493,0.22293092562756844,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,solar,0.17665757649945982,0.5127971335055411,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,mistral,0.28015645814020584,0.2932785031742067,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,deepseek,0.16289324479157824,0.5466635463294075,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,llama3.3,0.37410681468419593,0.1534361717327014,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,qwen72b,0.24669174027797705,0.35701321669138647,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,qwen32b,0.3287424867655722,0.2137881568337212,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,qwen14b,0.4866267826384454,0.055941466930108034,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,solar,0.13612507528319778,0.6151877123388786,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,mistral,-0.010750030906812702,0.9684815597587817,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,deepseek,-0.16300471574509778,0.5463853876333619,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,llama3.3,-0.18987959675664562,0.48121051505396034,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,qwen72b,0.06342123062779115,0.8154970153918283,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,qwen32b,0.10115591775093152,0.7093271237701185,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,qwen14b,0.2110128666645075,0.43275919032984855,False
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,solar,0.16278826629343374,0.54692556103152,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,mistral,0.2965033964258735,0.2647997688482295,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,deepseek,0.38204257918292817,0.14421214161930912,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,llama3.3,0.3177018312792054,0.23048862059562653,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,qwen72b,-0.1919203978624133,0.47642068114448366,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,qwen32b,0.1309337089364826,0.628854042315831,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,qwen14b,0.3647907197358452,0.16476275611800983,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,solar,0.10931571114136429,0.6869449219913618,False
microsoft/deberta-v3-small,L_ADV_COMPARATIVE,mistral,0.29587028534256615,0.26587001883738803,False
